"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"58","deheson_O6","2009",18.8833333333333,7.98333333333335,13.9666666666667,6.60444294900535,-26.6,62.12,16.11,37.14,222.84,58.3518390293511,20.6,8.43333333333336,15.0666666666667,3.84230833397495,-19,43.49,17.03,27.5666666666667,98.81,78.6162261747315,"deheson_O6_2009"
"59","deheson_O6","2010",17.05,7.75000000000002,13.1,6.004664853262,-24,208.86,36.89,96.735,580.41,67.5062194542664,18.3,8.16666666666669,14.1666666666667,3.46746785613555,-16.7,90.94,36.89,66.6433333333333,239.43,97.9875077113259,"deheson_O6_2010"
"60","deheson_O6","2011",18.8666666666667,8.70000000000003,14.4333333333333,6.49204641593594,-26,115.61,12.01,71.1066666666667,426.64,51.6849214677296,20.0333333333333,10,15.8333333333333,4.42982317179064,-18.6,97.71,50.91,77.3066666666667,243.93,47.5397872003108,"deheson_O6_2011"
"61","deheson_O6","2012",18.7833333333333,7.11666666666668,13.1333333333333,7.26984639911097,-30.4,76.65,1.8,25.5683333333333,153.41,112.731906900529,19.5666666666667,8.20000000000001,14.2333333333333,4.38786204584117,-19,76.65,11.34,43.2833333333333,131.65,66.5929989896427,"deheson_O6_2012"
"62","deheson_O6","2013",17.2166666666667,7.30000000000001,12.9333333333333,5.83323809446062,-25.1,242.68,10.37,79.4833333333333,476.9,105.80446360609,17.3666666666667,7.6,13.3666666666667,3.05668665933121,-15.1,242.68,28.21,107.573333333333,333.09,78.1763582885229,"deheson_O6_2013"
"63","deheson_O6","2014",18.65,8.65,14.4166666666667,5.7540999875451,-24.4,170.12,4.18,78.7516666666667,472.51,81.3237290506292,20.3,9.23333333333333,15.5666666666667,3.47035060668706,-18,66.52,30.72,52.58,161.92,121.80257136336,"deheson_O6_2014"
"64","deheson_O6","2015",19.5666666666667,8.41666666666667,14.4,7.45493125387484,-29.4,81.27,12.74,45.2133333333333,271.28,57.2033986327235,21.3666666666667,9.53333333333332,15.8666666666667,4.33858655939157,-21,68.19,12.74,40.3766666666667,202.4,64.05571692019,"deheson_O6_2015"
"65","deheson_S3","2000",18.6166666666667,7.73333333333333,13.7,7.01626681362673,-30.3,200.2,6.81,65.7216666666667,394.33,106.845596456882,18.4666666666667,8.33333333333333,14.1333333333333,3.97030645332741,-16.8,200.2,52.04,109.686666666667,335.87,64.0193643269348,"deheson_S3_2000"
"66","deheson_S3","2001",18.8833333333334,8.80000000000001,14.85,6.22727869939992,-27.1,275.32,0.78,110.818333333333,664.91,102.853892432223,19.2666666666667,8.96666666666668,15.3,2.65141471671257,-14.5,219.95,0.78,91.5633333333333,282.39,124.483202186299,"deheson_S3_2001"
"67","deheson_S3","2002",18.6666666666667,8.01666666666668,14.0666666666667,6.16106051477071,-27.1,111.74,10.95,54.93,329.58,70.3421284264282,18.7,7.86666666666667,14.2,2.40624188310317,-15.4,111.74,38.09,72.0266666666667,227.03,53.6453135106956,"deheson_S3_2002"
